feature,imp_mean,imp_lo,imp_hi,n_boot_actual,backend
NSlits,0.9570417219269083,0.6985508821154961,1.2127461487840523,250,XGB-GPU
DACL,0.25964565290862696,0.17841224340848713,0.3378124502328087,250,XGB-GPU
LES,0.0472056518582487,0.01145984369495726,0.08948809002758919,250,XGB-GPU
DI,0.020707250690359145,0.007142118737407994,0.05019997060413457,250,XGB-GPU
