method,k,silhouette,ARI
kmeans,2,0.5543133092897311,0.26666666666666666
kmeans,3,0.4606130875853051,0.5433962264150943
kmeans,4,0.5667594816021487,0.7533632286995515
kmeans,5,0.5913345285114117,0.6732673267326733
kmeans,6,0.572532171419588,0.7659574468085106
ward,2,0.5543133092897311,0.26666666666666666
ward,3,0.4606130875853051,0.5433962264150943
ward,4,0.5667594816021487,0.7533632286995515
ward,5,0.5913345285114117,0.6732673267326733
ward,6,0.572532171419588,0.7659574468085106
