variable,test,p_value,effect_size
EL,ANOVA,1.9349805816917593e-07,0.9832263524525864
Fmax,ANOVA,1.0139257893271146e-06,0.9745995665338204
SL,ANOVA,5.95881292871066e-06,0.960393787700973
εf,ANOVA,0.2592475813749646,0.37841195202082223
σmax,ANOVA,1.703657170535599e-07,0.983752717208794
