group1,group2,meandiff,p-adj,lower,upper,reject
1,2,-9.1567,0.0426,-18.0,-0.3133,True
1,3,34.3833,0.0,25.54,43.2267,True
1,4,-4.0533,0.4968,-12.8967,4.79,False
2,3,43.54,0.0,34.6967,52.3833,True
2,4,5.1033,0.3202,-3.74,13.9467,False
3,4,-38.4367,0.0,-47.28,-29.5933,True
