idx1,idx2,dist,count
4.0,5.0,0.11758789033670969,2.0
0.0,2.0,0.5799829838067422,2.0
6.0,8.0,0.6366831415338343,2.0
3.0,12.0,0.7103567638438067,3.0
9.0,10.0,1.1243018268287208,2.0
7.0,14.0,1.404778387214481,3.0
11.0,13.0,1.6432306293456755,3.0
1.0,18.0,3.21465501141575,4.0
15.0,16.0,3.986387256427601,5.0
19.0,20.0,5.059734516571402,9.0
17.0,21.0,9.218240248380425,12.0
