target,model,R2_LOOCV,R2_LOGO
σmax,XGB-GPU,0.8195548555359633,-1.5904998058543867
εf,XGB-GPU,-0.35782716341252585,-0.4509029981427626
Fmax,XGB-GPU,0.8894379519169535,-1.6435955050359516
SL,XGB-GPU,0.850138487293792,-1.6937428159941037
EL,XGB-GPU,0.8327265707858867,-1.8097100205478167
