feature,PC1,PC2,PC3,PC4,PC5
σmax,0.5050243366594759,-0.007221448892290675,-0.11440552112935143,-0.03307835936924184,0.7888146295738953
εf,0.11786642280114057,-0.6764721531622908,0.6673735136760702,-0.28564004597584985,-0.012266534279000929
Fmax,0.48344016141148843,0.01916048687896771,0.28046321128806034,0.7952121979612081,-0.1664699569880038
SL,0.4998370858676587,0.12048889538401053,-0.12298566156791935,-0.26941660294790837,-0.5807690119723978
EL,0.49447156985744356,-0.05220035628158348,-0.26044305234307286,-0.3733080639019386,-0.06319149780071762
εTmax,0.054811406533629675,0.7243781480053414,0.6163670177967759,-0.27020164687109766,0.09285986789619746
