group1,group2,meandiff,p-adj,lower,upper,reject
1,2,2.52,0.0164,0.5072,4.5328,True
1,3,9.9933,0.0,7.9806,12.0061,True
1,4,-3.0033,0.0061,-5.0161,-0.9906,True
2,3,7.4733,0.0,5.4606,9.4861,True
2,4,-5.5233,0.0001,-7.5361,-3.5106,True
3,4,-12.9967,0.0,-15.0094,-10.9839,True
