group1,group2,meandiff,p-adj,lower,upper,reject
1,2,59.3733,0.7561,-131.5558,250.3024,False
1,3,109.9267,0.3219,-81.0024,300.8558,False
1,4,115.3267,0.2873,-75.6024,306.2558,False
2,3,50.5533,0.8306,-140.3758,241.4824,False
2,4,55.9533,0.786,-134.9758,246.8824,False
3,4,5.4,0.9997,-185.5291,196.3291,False
