group1,group2,meandiff,p-adj,lower,upper,reject
1,2,0.13,0.608,-0.1994,0.4594,False
1,3,1.5633,0.0,1.2339,1.8928,True
1,4,-0.6233,0.0014,-0.9528,-0.2939,True
2,3,1.4333,0.0,1.1039,1.7628,True
2,4,-0.7533,0.0004,-1.0828,-0.4239,True
3,4,-2.1867,0.0,-2.5161,-1.8572,True
